x1 x2 x3 x4 x5 x6 x7 x8 y1  
220.8 147.2 0 185.7 0 1055 744.3 7 13.089
167.95 42.08 163.83 121.75 5.72 1058.7 780.11 100 39.231
190 190 0 228 0 932 670 365 53.692
277.05 0 97.39 160.6 11.83 973.9 875.61 56 51.035
212.52 0 100.37 159.32 8.71 1007.8 903.59 28 31.64
213.5 0 174.24 154.61 11.66 1052.3 775.48 56 51.435
214.9 53.8 121.89 155.63 9.61 1014.3 780.58 56 53.958
425 106.3 0 153.5 16.5 852.1 887.1 28 60.295
139.6 209.4 0 192 0 1047 806.9 360 44.698
116 173 0 192 0 909.8 891.9 90 31.024
231.75 0 121.62 173.96 6.72 1056.4 778.45 56 42.699
376 0 0 214.6 0 1003.5 762.36 28 31.971
491 26 123 201 3.93 822 699 56 61.856
310 0 0 192 0 970 850 360 38.114
251.37 0 118.27 192.94 5.75 1043.6 754.3 56 39.266
141.9 166.6 129.7 173.5 10.9 882.6 785.3 28 44.612
122.6 183.9 0 203.5 0 958.2 800.1 28 24.291
313 161 0 178 10 917 759 28 52.442
172.38 13.61 172.37 156.76 4.14 1006.3 856.4 56 35.853
165 128.5 132.1 175.06 8.08 1005.8 746.6 3 19.416
218.23 54.64 123.78 140.75 11.91 1075.7 792.67 3 27.42
374 189.2 0 170.1 10.1 926.1 756.7 56 63.397
325 0 0 184 0 1063 783 28 30.571
322 0 0 203 0 974 800 28 25.18
252.31 0 98.75 146.25 14.17 987.76 889.01 100 60.95
172.38 13.61 172.37 156.76 4.14 1006.3 856.4 100 37.68
469 117.2 0 137.8 32.2 852.1 840.5 7 54.896
145.4 0 178.9 201.7 7.8 824 868.7 28 10.536
337.9 189 0 174.9 9.5 944.7 755.8 3 24.097
424 22 132 168 8.92 822 750 3 32.11
314 145.3 113.2 178.9 8 869.1 690.2 28 46.234
400 0 0 187 0 1025 745 7 30.144
210.7 316.1 0 185.7 0 977 689.3 28 37.814
286.3 200.9 0 144.7 11.2 1004.6 803.7 28 67.7
151 0 185 167 16 1074 678 28 13.459
234 156 0 189 5.85 981 760 28 39.3
401.8 94.7 0 147.4 11.4 946.8 852.1 7 54.096
525 0 0 189 0 1125 613 3 33.798
237.5 237.5 0 228 0 932 594 180 36.252
194.68 0 100.52 170.17 7.48 998 901.8 100 44.278
281 0 0 186 0 1104 774 28 22.436
475 0 59 142 1.9 1098 641 28 57.227
522 0 0 146 0 896 896 7 50.511
166.09 0 163.27 176.46 4.49 1058.6 780.09 100 33.543
145.9 230.5 0 202.5 3.4 827 871.8 28 32.72
251.81 0 99.94 146.14 12.35 1006 899.76 100 45.368
249.1 0 98.75 158.11 12.8 987.76 889.01 3 15.362
288 192 0 192 0 932 717.8 90 50.527
359 19 141 154 10.91 942 801 56 66.781
323.7 282.8 0 183.8 10.3 942.7 659.9 28 74.698
194.68 0 100.52 170.17 7.48 998 901.8 28 37.266
193.5 290.2 0 185.7 0 998.2 704.3 7 17.2
525 0 0 189 0 1125 613 7 42.423
