x1 x2 x3 x4 x5 x6 x7 x8 y1  
151.6 0 111.9 184.4 7.9 992 815.9 28 12.181
151 0 184 167 12 991 772 28 15.568
446 24 79 162 11.61 967 712 7 52.007
387 20 94 157 13.93 938 845 28 46.684
167 75.4 167 164.03 7.91 1007.3 770.1 100 56.813
153 239 0 200 6 1002 684 28 26.855
190.34 0 125.18 166.61 9.88 1079 798.9 56 31.716
152 0 112 184 8 992 816 28 12.176
250 0 95.69 187.42 5.53 956.86 861.17 56 38.328
332.5 142.5 0 228 0 932 594 180 39.779
134.7 0 165.7 180.2 10 961 804.9 28 13.294
172.38 13.61 172.37 156.76 4.14 1006.3 856.4 3 21.291
173 116 0 192 0 946.8 856.8 3 6.941
310 142.8 0 167.9 10 914.3 804 28 45.305
249.1 0 98.75 158.11 12.8 987.76 889.01 100 51.056
337.9 189 0 174.9 9.5 944.7 755.8 91 67.796
152.6 238.7 0 200 6.3 1001.8 683.9 28 26.86
425 106.3 0 151.4 18.6 936 803.7 7 46.802
178.03 129.8 118.6 179.94 3.57 1007.3 746.8 14 34.239
362.6 189 0 164.9 11.6 944.7 755.8 28 71.299
439 177 0 186 11.1 884.9 707.9 3 39.3
157 236 0 192 0 935.4 781.2 90 43.377
254 0 0 198 0 968 863 3 9.3079
251.37 0 118.27 188.45 6.35 1028.4 757.73 100 44.209
202 11 141 206 1.72 942 801 28 21.967
166.8 250.2 0 203.5 0 975.6 692.6 90 43.565
531.3 0 0 141.8 28.2 852.1 893.7 3 41.3
362.6 189 0 164.9 11.6 944.7 755.8 7 55.896
167.95 42.08 163.83 121.75 5.72 1058.7 780.11 100 39.231
281 0 0 186 0 1104 774 7 14.5
250 0 95.69 191.84 5.33 948.9 857.2 56 39.645
275.07 0 121.35 159.48 9.9 1053.6 777.5 14 38.769
236 0 0 194 0 968 885 28 18.416
277.05 0 97.39 160.6 11.83 973.9 875.61 56 51.035
475 118.8 0 181.1 8.9 852.1 781.5 28 68.299
167.35 129.9 128.62 175.46 7.79 1006.3 746.6 14 31.812
385 0 136 158 20 903 768 28 55.551
116 173 0 192 0 909.8 891.9 7 10.09
213.5 0 174.24 154.61 11.66 1052.3 775.48 56 51.435
286.3 200.9 0 144.7 11.2 1004.6 803.7 56 72.995
359 19 141 154 10.91 942 801 28 62.935
500 0 0 200 0 1125 613 3 26.062
310 143 0 168 10 914 804 28 45.299
425 106.3 0 153.5 16.5 852.1 887.1 28 60.295
153 102 0 192 0 888 943.1 28 17.964
166 260 0 183 13 859 827 28 37.914
251.81 0 99.94 146.14 12.35 1006 899.76 56 44.14
266 114 0 228 0 932 670 90 47.03
116 173 0 192 0 909.8 891.9 90 31.024
237.5 237.5 0 228 0 932 594 90 33.117
379.5 151.2 0 153.9 15.9 1134.3 605 3 28.599
229.68 0 118.16 195.23 6.13 1028.1 757.63 14 22.318
322 0 116 196 10 818 813 28 31.178
376 0 0 214.6 0 1003.5 762.36 28 31.971
251.37 0 118.27 188.45 5.75 1028.4 757.73 28 29.654
190.34 0 125.18 161.85 9.88 1088.1 802.59 3 9.4458
374 0 0 190 7 1013 730 28 39.052
202 11 141 206 1.72 942 801 7 15.07
310 0 0 192 0 970 850 360 38.114
336.5 0 0 181.9 3.4 985.8 816.8 28 44.868
141.3 212 0 203.5 0 971.8 748.5 28 29.892
349 0 0 192 0 1047 806 7 18.126
323.7 282.8 0 183.8 10.3 942.7 659.9 7 49.801
141.9 166.6 129.7 173.5 10.9 882.6 785.3 28 44.612
155 183 0 193 9 1047 697 28 18.285
149 153 194 192 8 935 623 28 24.58
304 76 0 228 0 932 670 180 50.949
182.04 45.21 121.97 170.21 8.19 1059.4 780.65 28 31.268
313 161 0 178 10 917 759 28 52.442
439 177 0 186 11.1 884.9 707.9 91 73.298
212 141.3 0 203.5 0 973.4 750 90 39.7
359 19 141 154 10.91 942 801 28 59.495
200 133 0 192 0 965.4 806.2 3 11.414
165 128.5 132.1 175.06 8.08 1005.8 746.6 3 19.416
167.35 129.9 128.62 175.46 7.79 1006.3 746.6 56 51.724
214.9 53.8 121.89 155.63 9.61 1014.3 780.58 100 56.634
275 180 120 162 10.35 830 765 28 76.235
139.7 163.9 127.7 236.7 5.8 868.6 655.6 28 35.225
374 189.2 0 170.1 10.1 926.1 756.7 56 63.397
200 133 0 192 0 965.4 806.2 7 17.166
387 20 94 157 11.61 938 845 28 46.684
249.1 0 98.75 158.11 12.8 987.76 889.01 28 30.847
297.16 0 117.54 174.8 9.52 1022.8 753.45 3 21.912
322 0 0 203 0 974 800 28 25.18
251.37 0 118.27 188.45 6.35 1028.4 757.73 28 32.66
167.95 42.08 163.83 121.75 5.72 1058.7 780.11 3 7.7497
350 0 0 203 0 974 775 7 18.126
166.09 0 163.27 176.46 4.49 1058.6 780.09 14 25.483
172.38 13.61 172.37 156.76 4.14 1006.3 856.4 100 37.68
331 0 0 192 0 1025 821 90 37.914
387 20 94 157 11.61 938 845 7 41.665
143.6 0 174.9 158.4 17.9 942.7 844.5 28 15.424
385 0 0 186 0 966 763 14 27.924
145.4 0 178.9 201.7 7.8 824 868.7 28 10.536
350 0 0 203 0 974 775 90 31.35
290.2 193.5 0 185.7 0 998.2 704.3 7 21.859
331 0 0 192 0 978 825 360 41.244
425 106.3 0 151.4 18.6 936 803.7 91 66.7
424 22 132 168 8.92 822 750 3 32.11
331 0 0 192 0 978 825 90 37.232
321 164 0 190 5 870 774 28 57.213
173 116 0 192 0 946.8 856.8 7 11.392
159.8 250 0 168.4 12.2 1049.3 688.2 28 39.456
400 0 0 187 0 1025 745 7 30.144
475 0 0 228 0 932 594 28 39.29
393 0 0 192 0 940 758 90 48.794
108.3 162.4 0 203.5 0 938.2 849 90 29.232
277.05 0 97.39 160.6 11.83 973.9 875.61 28 48.284
286.3 200.9 0 144.7 11.2 1004.6 803.7 28 67.7
339 0 0 197 0 968 781 28 32.04
173.81 93.37 159.9 172.34 9.73 1007.2 746.6 14 29.551
382 0 0 186 0 1111 784 7 11.466
212.57 0 100.39 159.35 10.37 1003.8 903.79 3 13.334
234 156 0 189 5.85 981 760 28 39.3
255 99 77 189 6 919 749 28 33.798
355 19 97 145 13.13 967 871 28 44.03
236 0 0 193 0 968 885 365 25.083
389.9 189 0 145.9 22 944.7 755.8 7 59.095
