x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 y1  
0.08265 0 13.92 0 0.437 6.127 18.4 5.5027 4 289 16 396.9 8.58 23.9
0.24522 0 9.9 0 0.544 5.782 71.7 4.0317 4 304 18.4 396.9 15.94 19.8
0.32982 0 21.89 0 0.624 5.822 95.4 2.4699 4 437 21.2 388.69 15.03 18.4
0.04203 28 15.04 0 0.464 6.442 53.6 3.6659 4 270 18.2 395.01 8.16 22.9
0.12329 0 10.01 0 0.547 5.913 92.9 2.3534 6 432 17.8 394.95 16.21 18.8
9.5957 0 18.1 0 0.693 6.404 100 1.639 24 666 20.2 376.11 20.31 12.1
0.01951 17.5 1.38 0 0.4161 7.104 59.5 9.2229 3 216 18.6 393.24 8.05 33
0.01709 90 2.02 0 0.41 6.728 36.1 12.127 5 187 17 384.46 4.5 30.1
0.0536 21 5.64 0 0.439 6.511 21.1 6.8147 4 243 16.8 396.9 5.28 25
1.425 0 19.58 0 0.871 6.51 100 1.7659 5 403 14.7 364.31 7.39 23.3
0.04666 80 1.52 0 0.404 7.107 36.6 7.309 2 329 12.6 354.31 8.61 30.3
14.051 0 18.1 0 0.597 6.657 100 1.5275 24 666 20.2 35.05 21.22 17.2
0.01501 80 2.01 0 0.435 6.635 29.7 8.344 4 280 17 390.94 5.99 24.5
0.06642 0 4.05 0 0.51 6.86 74.4 2.9153 5 296 16.6 391.27 6.92 29.9
0.06888 0 2.46 0 0.488 6.144 62.2 2.5979 3 193 17.8 396.9 9.45 36.2
0.09103 0 2.46 0 0.488 7.155 92.2 2.7006 3 193 17.8 394.12 4.82 37.9
0.03359 75 2.95 0 0.428 7.024 15.8 5.4011 3 252 18.3 395.62 1.98 34.9
0.37578 0 10.59 1 0.489 5.404 88.6 3.665 4 277 18.6 395.24 23.98 19.3
5.7082 0 18.1 0 0.532 6.75 74.9 3.3317 24 666 20.2 393.07 7.74 23.7
0.84054 0 8.14 0 0.538 5.599 85.7 4.4546 4 307 21 303.42 16.51 13.9
0.52058 0 6.2 1 0.507 6.631 76.5 4.148 8 307 17.4 388.45 9.54 25.1
0.14103 0 13.92 0 0.437 5.79 58 6.32 4 289 16 396.9 15.84 20.3
0.05561 70 2.24 0 0.4 7.041 10 7.8278 5 358 14.8 371.58 4.74 29
0.02543 55 3.78 0 0.484 6.696 56.4 5.7321 5 370 17.6 396.9 7.18 23.9
14.334 0 18.1 0 0.614 6.229 88 1.9512 24 666 20.2 383.32 13.11 21.4
0.03738 0 5.19 0 0.515 6.31 38.5 6.4584 5 224 20.2 389.4 6.75 20.7
4.2224 0 18.1 1 0.77 5.803 89 1.9047 24 666 20.2 353.04 14.64 16.8
0.27957 0 9.69 0 0.585 5.926 42.6 2.3817 6 391 19.2 396.9 13.59 24.5
0.14476 0 10.01 0 0.547 5.731 65.2 2.7592 6 432 17.8 391.5 13.61 19.3
0.03049 55 3.78 0 0.484 6.874 28.1 6.4654 5 370 17.6 387.97 4.61 31.2
0.1265 25 5.13 0 0.453 6.762 43.4 7.9809 8 284 19.7 395.58 9.5 25
6.444 0 18.1 0 0.584 6.425 74.8 2.2004 24 666 20.2 97.95 12.03 16.1
0.67191 0 8.14 0 0.538 5.813 90.3 4.682 4 307 21 376.88 14.81 16.6
0.06211 40 1.25 0 0.429 6.49 44.4 8.7921 1 335 19.7 396.9 5.98 22.9
8.7921 0 18.1 0 0.584 5.565 70.6 2.0635 24 666 20.2 3.65 17.16 11.7
0.29819 0 6.2 0 0.504 7.686 17 3.3751 8 307 17.4 377.51 3.92 46.7
0.13642 0 10.59 0 0.489 5.891 22.3 3.9454 4 277 18.6 396.9 10.87 22.6
0.02187 60 2.93 0 0.401 6.8 9.9 6.2196 1 265 15.6 393.37 5.03 31.1
4.5559 0 18.1 0 0.718 3.561 87.9 1.6132 24 666 20.2 354.7 7.12 27.5
0.05083 0 5.19 0 0.515 6.316 38.1 6.4584 5 224 20.2 389.71 5.68 22.2
18.498 0 18.1 0 0.668 4.138 100 1.137 24 666 20.2 396.9 37.97 13.8
3.6737 0 18.1 0 0.583 6.312 51.9 3.9917 24 666 20.2 388.62 10.58 21.2
0.06724 0 3.24 0 0.46 6.333 17.2 5.2146 4 430 16.9 375.21 7.34 22.6
15.177 0 18.1 0 0.74 6.152 100 1.9142 24 666 20.2 9.32 26.45 8.7
0.08829 12.5 7.87 0 0.524 6.012 66.6 5.5605 5 311 15.2 395.6 12.43 22.9
0.06162 0 4.39 0 0.442 5.898 52.3 8.0136 3 352 18.8 364.61 12.67 17.2
0.17446 0 10.59 1 0.489 5.96 92.1 3.8771 4 277 18.6 393.25 17.27 21.7
0.26838 0 9.69 0 0.585 5.794 70.6 2.8927 6 391 19.2 396.9 14.1 18.3
8.4921 0 18.1 0 0.584 6.348 86.1 2.0527 24 666 20.2 83.45 17.64 14.5
5.0902 0 18.1 0 0.713 6.297 91.8 2.3682 24 666 20.2 385.09 17.27 16.1
0.7258 0 8.14 0 0.538 5.727 69.5 3.7965 4 307 21 390.95 11.28 18.2
0.26938 0 9.9 0 0.544 6.266 82.8 3.2628 4 304 18.4 393.39 7.9 21.6
0.21409 22 5.86 0 0.431 6.438 8.9 7.3967 7 330 19.1 377.07 3.59 24.8
0.05479 33 2.18 0 0.472 6.616 58.1 3.37 7 222 18.4 393.36 8.93 28.4
0.05372 0 13.92 0 0.437 6.549 51 5.9604 4 289 16 392.85 7.39 27.1
0.03548 80 3.64 0 0.392 5.876 19.1 9.2203 1 315 16.4 395.18 9.25 20.9
0.40771 0 6.2 1 0.507 6.164 91.3 3.048 8 307 17.4 395.24 21.46 21.7
2.4467 0 19.58 0 0.871 5.272 94 1.7364 5 403 14.7 88.63 16.14 13.1
4.8982 0 18.1 0 0.631 4.97 100 1.3325 24 666 20.2 375.52 3.26 50
7.0504 0 18.1 0 0.614 6.103 85.1 2.0218 24 666 20.2 2.52 23.29 13.4
0.03445 82.5 2.03 0 0.415 6.162 38.4 6.27 2 348 14.7 393.77 7.43 24.1
0.10328 25 5.13 0 0.453 5.927 47.2 6.932 8 284 19.7 396.9 9.22 19.6
0.25356 0 9.9 0 0.544 5.705 77.7 3.945 4 304 18.4 396.42 11.5 16.2
13.36 0 18.1 0 0.693 5.887 94.7 1.7821 24 666 20.2 396.9 16.35 12.7
0.35809 0 6.2 1 0.507 6.951 88.5 2.8617 8 307 17.4 391.7 9.71 26.7
0.07013 0 13.89 0 0.55 6.642 85.1 3.4211 5 276 16.4 392.78 9.69 28.7
0.02875 28 15.04 0 0.464 6.211 28.9 3.6659 4 270 18.2 396.33 6.21 25
0.05789 12.5 6.07 0 0.409 5.878 21.4 6.498 4 345 18.9 396.21 8.1 22
0.17171 25 5.13 0 0.453 5.966 93.4 6.8185 8 284 19.7 378.08 14.44 16
0.06899 0 25.65 0 0.581 5.87 69.7 2.2577 2 188 19.1 389.15 14.37 22
11.16 0 18.1 0 0.74 6.629 94.6 2.1247 24 666 20.2 109.85 23.27 13.4
0.0686 0 2.89 0 0.445 7.416 62.5 3.4952 2 276 18 396.9 6.19 33.2
0.01096 55 2.25 0 0.389 6.453 31.9 7.3073 1 300 15.3 394.72 8.23 22
7.0226 0 18.1 0 0.718 6.006 95.3 1.8746 24 666 20.2 319.98 15.7 14.2
0.0351 95 2.68 0 0.4161 7.853 33.2 5.118 4 224 14.7 392.78 3.81 48.5
