x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 y1 y2 y3 y4  
0.1 0.012 0.446 0.228 0.52 0.56 0.878 0.368 0.02 0.312 0.78 0.948 0.268 0.37 0.634 1.2872 -0.5837 0.020618 0.026415
0.682 0.462 0.108 0.862 0.922 0.144 0.188 0.298 0.304 0.654 0.75 0.092 0.536 0.03 0.572 4.2835 -0.56306 0.021015 0.022201
0.746 0.608 0.784 0.186 0.746 0.206 0.442 0.726 0.056 0.002 0.952 0.57 0.796 0.17 0.428 1.4379 -0.48645 0.020877 0.026595
0.87 0.644 0.472 0.416 0.688 0.694 0.016 0.054 0.104 0.052 0.79 0.618 0.328 0.822 0.394 0.75559 -0.33168 0.021383 0.026067
0.362 0.786 0.818 0.812 0.888 0.622 0.482 0.954 0.566 0.152 0.284 0.826 0.064 0.798 0.232 1.1899 -0.36814 0.021417 0.026185
0.424 0.502 0.22 0.316 0.752 0.572 0.55 0.996 0.496 0.486 0.948 0.02 0.71 0.148 0.888 4.3115 -0.53749 0.022119 0.027364
0.332 0.504 0.196 0.94 0.672 0.85 0.356 0.824 0.942 0.302 0.586 0.394 0.252 0.19 0.93 1.9904 -0.59839 0.02101 0.024668
0.808 0.68 0.948 0.39 0.366 0.662 0.752 0.038 0.33 0.34 0.902 0.63 0.868 0.358 0.924 0.73283 -0.38973 0.021952 0.034227
0.206 0.27 0.204 0.252 0.558 0.932 0.874 0.312 0.888 0.556 0.892 0.726 0.422 0.29 0.994 2.2445 -0.43742 0.021064 0.027042
0.004 0.722 0.286 0.328 0.1 0.472 0.91 0.872 0.742 0.156 0.214 0.118 0.246 0.512 0.554 0.81161 -0.54011 0.021288 0.024837
0.204 0.382 0.278 0.106 0.208 0.796 0.662 0.51 0.536 0.29 0.984 0.362 0.818 0.048 0.2 2.0358 -0.18401 0.021202 0.026625
0.582 0.916 0.786 0.586 0.846 0.306 0.06 0.514 0.434 0.61 0.844 0.956 0.676 0.056 0.682 0.93283 -0.27567 0.022631 0.045421
0.32 0.148 0.908 0.476 0.246 0.34 0.96 0.106 0.96 0.85 0.544 0.316 0.766 0.364 0.442 2.2206 -0.51386 0.020694 0.023989
0.444 0.104 0.712 0.506 0.996 0.81 0.246 0.778 0.286 0.162 0.58 0 0.2 0.602 0.352 1.0367 -0.36329 0.021257 0.028879
0.426 0.124 0.968 0.776 0.176 0.298 0.948 0.228 0.562 0.38 0.264 0.594 0.222 0.82 0.144 2.6958 -0.35619 0.021668 0.023665
0.05 0.85 0.764 0.988 0.882 0.366 0.82 0.468 0.322 0.74 0.692 0.762 0.15 0.35 0.542 1.5044 -0.5732 0.021053 0.024475
0.996 0.368 0.21 0.508 0.606 0.168 0.992 0.498 0.726 0.258 0.764 0.178 0.292 0.62 0.936 0.94127 -0.50727 0.021204 0.02304
0.4 0.18 0.018 0.406 0.418 0.388 0.506 0.068 0.718 0.552 0.656 0.824 0.06 0.954 0.76 2.307 -0.64727 0.020842 0.023083
0.64 0.994 0.488 0.48 0.402 0.552 0.042 0.484 0.958 0.256 0.304 0.426 0.888 0.01 0.656 2.6413 -0.37614 0.021115 0.023414
0.152 0.134 0.462 0.81 0.43 0.432 0.044 0.204 0.166 0.772 0.8 0.346 0.88 0.452 0.1 0.31433 -0.21354 0.023522 0.051364
0.826 0.808 0.898 0.694 0.932 0.124 0.844 0.456 0.748 0.014 0.416 0.576 0.368 0.24 0.672 1.3025 -0.49419 0.021911 0.023978
0.798 0.662 0.774 0.19 0.358 0.424 0.88 0.098 0.244 0.606 0.504 0.064 0.034 0.222 0.664 2.1553 -0.45374 0.020698 0.024563
0.902 0.776 0.274 0.25 0.978 0.21 0.39 0.574 0.608 0.164 0.852 0.836 0.094 0.474 0.46 1.5958 -0.59209 0.020991 0.022519
0.02 0.606 0.082 0.674 0.514 0.158 0.45 0.78 0.61 0.916 0.708 0.678 0.854 0.38 0.016 1.6155 -0.53795 0.020266 0.024017
0.232 0.094 0.852 0.168 0.976 0.082 0.586 0.282 0.598 0.25 0.878 0.578 0.384 0.696 0.28 1.0019 -0.58404 0.020728 0.022968
0.358 0.092 0.092 0.682 0.868 0.954 0.162 0.162 0.238 0.546 0.85 0.906 0.434 0.574 0.488 1.3642 -0.39992 0.021049 0.028951
0.048 0.422 0.612 0.484 0.944 0.606 0.082 0.688 0.044 0.476 0.534 0.508 0.38 0.12 0.962 1.8202 -0.49392 0.021018 0.024732
0.66 0.888 0.038 0.93 0.274 0.658 0.362 0.736 0.448 0.392 0.41 0.598 0.092 0.784 0.014 1.7546 -0.39383 0.020873 0.026531
0.626 0.998 0.824 0.546 0.2 0.442 0.166 0.218 0.522 0.184 0.54 0.886 0.302 0.286 0 1.8067 -0.25681 0.021181 0.02488
0.712 0.586 0.03 0.878 0.464 0.536 0.29 0.322 0.294 0.27 1 0.354 0.03 0.522 0.934 3.2515 -0.5177 0.021849 0.034829
0.378 0.97 0.39 0.056 0.456 0.116 0.236 0.474 0.272 0.788 0.33 0.212 0.324 0.924 0.824 2.5262 -0.62317 0.021081 0.024231
0.268 0.69 0.282 0.44 0.252 0.582 0.888 0.946 0.036 0.79 0.848 0.696 0.83 0.854 0.496 1.1845 -0.56059 0.023596 0.042969
0.118 0.56 0.308 0.822 0.454 0.526 0.76 0.9 0.898 0.19 0.168 0.77 0.96 0.218 0.438 1.5451 -0.47203 0.021224 0.022331
0.264 0.016 0.522 0.412 0.836 0.656 0.638 0.57 0.994 0.214 0.154 0.344 0.096 0.78 0.792 1.0068 -0.58477 0.021054 0.027274
0.82 0.576 0.426 0.41 0.854 0.612 0.8 0.188 0.254 0.492 0.07 0.258 0.958 0.812 0.96 2.2439 -0.57388 0.021412 0.024437
0.644 0.974 0.004 0.628 0.416 0.768 0.702 0.546 0.674 0.138 0.4 0.132 0.748 0.948 0.66 2.2933 -0.58087 0.021024 0.023387
0.608 0.176 0.834 0.516 0.886 0.49 0.902 0.24 0.62 0.748 0.866 0.738 0.02 0.288 0.864 0.44754 -0.52312 0.021961 0.036541
0.948 0.858 0.544 0.42 0.426 0.942 0.966 0.698 0.418 0.216 0.436 0.052 0.628 0.156 0.388 2.6828 -0.31398 0.021446 0.029389
0.016 0.074 0.31 0.832 0.59 0.684 0.862 0.12 0.576 0.6 0.486 0.666 0.048 0.326 0.156 2.9541 -0.41445 0.020718 0.024382
0.852 0.784 0.232 0.87 0.93 0.678 0.72 0.27 0.794 0.726 0.232 0.614 0.568 0.22 0.05 4.0996 -0.35931 0.021339 0.023369
0.602 0.154 0.324 0.306 0.914 0.034 0.108 0.5 0.008 0.254 0.314 0.816 0.498 0.454 0.308 0.88656 -0.47813 0.021045 0.024104
0.534 0.514 0.47 0.308 0.198 0.966 0.026 0.324 0.01 0.596 0.134 0.894 0.276 0.254 0.404 0.23363 -0.35527 0.021233 0.025159
0.434 0.684 0.978 0.746 0.984 0.878 0.116 0.36 0.644 0.218 0.128 0.61 0.696 0.458 0.782 1.5712 -0.44841 0.021269 0.024198
0.08 0.432 0.838 0.074 0.188 0.498 0.626 0.012 0.534 0.608 0.662 0.96 0.488 0.178 0.176 2.3305 -0.39906 0.020623 0.024165
0.728 0.16 0.766 0.558 0.596 0.69 0.382 0.164 0.202 0.064 0.332 0.882 0.7 0.042 0.088 2.1428 -0.22911 0.021908 0.025654
0.396 0.324 0.222 0.556 0.362 0.112 0.464 0.044 0.122 0.324 0.944 0.69 0.406 0.018 0.198 2.321 -0.48091 0.020246 0.022943
0.032 0.494 0.79 0.718 0.414 0.902 0.89 0.286 0.04 0.46 0.64 0.348 0.256 0.734 0.972 3.5867 -0.44377 0.022434 0.039502
